Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,0.699816514,38.37342244,34.83113827,0.00034584,3.273187565,0.268750766
,,,0.704770642,38.10945517,34.83912076,0.00028289,2.95826182,0.311789704
,,,0.709724771,37.87706024,34.84700384,0.000231072,2.668951938,0.360873388
,,,0.714678899,37.67539821,34.85478753,0.000188479,2.403716954,0.416705254
,,,0.719633028,37.50372031,34.86247181,0.00015352,2.161047581,0.480047403
,,,0.724587156,37.36137666,34.87005669,0.000124869,1.9394731,0.551722001
,,,0.729541284,37.24782295,34.87754217,0.000101421,1.737567243,0.632612125
,,,0.734495413,37.16262558,34.88492824,8.23E-05,1.553953108,0.723661971
,,,0.739449541,37.10546503,34.89221491,6.66E-05,1.387307159,0.825876331
,,,0.74440367,37.07613766,34.89940218,5.39E-05,1.236362357,0.940319233
,,,0.749357798,37.07455572,34.90649005,4.35E-05,1.099910504,1.068111642
,,,0.754311927,37.10074558,34.91347851,3.51E-05,0.97680383,1.210428131
,,,0.759266055,37.1548442,34.92036758,2.83E-05,0.865955923,1.368492427
,,,0.764220183,37.23709375,34.92715724,2.27E-05,0.766342037,1.543571739
,,,0.769174312,37.34783442,34.9338475,1.83E-05,0.676998864,1.736969804
,,,0.77412844,37.48749539,34.94043835,1.46E-05,0.597023822,1.950018578
,,,0.779082569,37.65658397,34.9469298,1.17E-05,0.525573923,2.184068522
,,,0.784036697,37.85567298,34.95332185,9.38E-06,0.461864291,2.440477457
,,,0.788990826,38.08538634,34.9596145,7.49E-06,0.405166372,2.72059798
,,,0.793944954,38.34638307,34.96580775,5.97E-06,0.354805896,3.025763449
,,,0.798899083,38.63933957,34.97190159,4.76E-06,0.310160646,3.357272581
,,,0.803853211,38.96493062,34.97789603,3.78E-06,0.270658073,3.716372733
,,,0.808807339,39.32380884,34.98379107,3.00E-06,0.235772803,4.104241965
,,,0.813761468,39.71658318,34.98958671,2.38E-06,0.205024073,4.521970016
,,,0.818715596,40.14379632,34.99528294,1.89E-06,0.177973129,4.970538366
,,,0.823669725,40.60590145,35.00087978,1.49E-06,0.15422062,5.450799563
,,,0.828623853,41.10323847,35.00637721,1.18E-06,0.133404009,5.963456075
,,,0.833577982,41.63601009,35.01177523,9.28E-07,0.115195032,6.509038902
,,,0.83853211,42.20425806,35.01707386,7.31E-07,0.099297209,7.08788626
,,,0.843486239,42.80783975,35.02227308,5.75E-07,0.085443448,7.700122646
,,,0.848440367,43.4464057,35.0273729,4.51E-07,0.073393723,8.345638629
,,,0.853394495,44.11937827,35.03237332,3.54E-07,0.062932865,9.024071729
,,,0.858348624,44.82593183,35.03727433,2.77E-07,0.053868454,9.734788761
,,,0.863302752,45.56497501,35.04207595,2.17E-07,0.046028832,10.47687001
,,,0.868256881,46.33513519,35.04677816,1.69E-07,0.039261223,11.24909564
,,,0.873211009,47.13474577,35.05138097,1.32E-07,0.03342998,12.04993469
,,,0.878165138,47.96183644,35.05588437,1.03E-07,0.028414946,12.87753702
